cdp,resultado,detalle,orden,start_datetime,end_datetime,duracion,pais,url,rut,sku_inicial,sku,medio,navegador,formato
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:37:38-04:00,2021-05-05T15:40:42-04:00,183,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,chrome,web
MICUENTA_F04_TC027,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:40:42-04:00,2021-05-05T15:41:21-04:00,39,cl,https://simple.ripley.cl,142277441,No se busco sku,No se busco sku,No se realizo pago,chrome,web
Nul,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:43:13-04:00,2021-05-05T15:43:16-04:00,3,Nil,Nil,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:43:36-04:00,2021-05-05T15:46:25-04:00,169,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,firefox,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:47:15-04:00,2021-05-05T15:50:12-04:00,176,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T15:54:20-04:00,2021-05-05T15:57:07-04:00,166,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,2064300570005,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T16:03:16-04:00,2021-05-05T16:04:16-04:00,59,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T16:04:28-04:00,2021-05-05T16:06:29-04:00,121,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Elemento contenedor del SKU en la ficha no está presente,No se obtiene numero de orden,2021-05-05T16:07:46-04:00,2021-05-05T16:09:32-04:00,105,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2064300570005,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,No esta disponible el producto,No se obtiene numero de orden,2021-05-05T17:03:02-04:00,2021-05-05T17:04:35-04:00,92,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2000303476012,2000303476012,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T17:04:41-04:00,2021-05-05T17:07:17-04:00,156,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2000303476012,2000303476012,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T17:44:57-04:00,2021-05-05T17:45:24-04:00,27,cl,https://Simple:acidO@preprod.ripley.cl,85449397,No se busco sku,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-05T18:02:52-04:00,2021-05-05T18:05:22-04:00,149,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2000303476012,2000303476012,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T14:21:27-04:00,2021-05-06T14:21:59-04:00,31,cl,https://Simple:acidO@preprod.ripley.cl,85449397,No se busco sku,No se busco sku,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T14:23:01-04:00,2021-05-06T14:25:44-04:00,163,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2000303476012,2000303476012,tarjeta_ripley,chrome,web
E2E_CHECKOUT_PREP_F02,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T14:29:33-04:00,2021-05-06T14:32:51-04:00,198,cl,https://Simple:acidO@preprod.ripley.cl,210990283,2000300111183,2000300111183,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F03,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T14:43:27-04:00,2021-05-06T14:45:33-04:00,125,cl,https://Simple:acidO@preprod.ripley.cl,130274374,2000300111183,2000300111183,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F03,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T14:49:57-04:00,2021-05-06T14:50:24-04:00,26,cl,https://Simple:acidO@preprod.ripley.cl,130274374,No se busco sku,No se busco sku,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F03,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:00:19-04:00,2021-05-06T15:00:45-04:00,26,cl,https://Simple:acidO@preprod.ripley.cl,130274374,No se busco sku,No se busco sku,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F03,Fail,Caso no mapeado,No se obtiene numero de orden,2021-05-06T15:01:10-04:00,2021-05-06T15:04:35-04:00,205,cl,https://Simple:acidO@preprod.ripley.cl,130274374,2000300111183,2000300111183,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F04,Fail,Producto Agotado,No se obtiene numero de orden,2021-05-06T15:07:37-04:00,2021-05-06T15:08:35-04:00,58,cl,https://Simple:acidO@preprod.ripley.cl,140314013,2000301630560,2000301630560,tarjeta_credito_rechazar,chrome,web
E2E_CHECKOUT_PREP_F05,Fail,Página de Despacho no muestra disponibilidad de agenda,No se obtiene numero de orden,2021-05-06T15:17:54-04:00,2021-05-06T15:20:24-04:00,149,cl,https://Simple:acidO@preprod.ripley.cl,130274374,2000303476012,2000303476012,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F06,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:20:40-04:00,2021-05-06T15:21:15-04:00,35,cl,https://Simple:acidO@preprod.ripley.cl,58540501,No se busco sku,No se busco sku,gifcard_empresas,chrome,web
E2E_CHECKOUT_PREP_F06,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:24:29-04:00,2021-05-06T15:24:55-04:00,25,cl,https://Simple:acidO@preprod.ripley.cl,58540501,No se busco sku,No se busco sku,gifcard_empresas,chrome,web
E2E_CHECKOUT_PREP_F06,Fail,Problemas al cargar el despacho,No se obtiene numero de orden,2021-05-06T15:27:21-04:00,2021-05-06T15:30:48-04:00,206,cl,https://Simple:acidO@preprod.ripley.cl,58540501,2000303476012,2000303476012,gifcard_empresas,chrome,web
E2E_CHECKOUT_PREP_F07,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:32:37-04:00,2021-05-06T15:36:01-04:00,204,cl,https://Simple:acidO@preprod.ripley.cl,211711426,MPM00000000267,MM00000000267,tarjeta_debito,chrome,web
E2E_CHECKOUT_PREP_F08,Fail,Producto Agotado,No se obtiene numero de orden,2021-05-06T15:38:00-04:00,2021-05-06T15:40:12-04:00,131,cl,https://Simple:acidO@preprod.ripley.cl,130274374,2000301630560,2000301630560,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F08,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:44:36-04:00,2021-05-06T15:48:35-04:00,238,cl,https://Simple:acidO@preprod.ripley.cl,130274374,2094010490003,2094010490003,tarjeta_credito,chrome,web
E2E_CHECKOUT_PREP_F09,Fail,Producto Agotado,No se obtiene numero de orden,2021-05-06T15:55:45-04:00,2021-05-06T15:57:24-04:00,98,cl,https://Simple:acidO@preprod.ripley.cl,58540501,2000301630560,2000301630560,gifcard_empresas,chrome,web
E2E_CHECKOUT_PREP_F09,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T15:58:01-04:00,2021-05-06T16:00:57-04:00,176,cl,https://Simple:acidO@preprod.ripley.cl,58540501,2094010490003,2094010490003,gifcard_empresas,chrome,web
